0	Q0	75	1	2.6629890855919047	BM25
0	Q0	88	2	3.031727047479883	BM25
0	Q0	150	3	4.16002141092989	BM25
0	Q0	183	4	4.872963641844222	BM25
0	Q0	189	5	3.770765100308986	BM25
0	Q0	201	6	3.742966617451068	BM25
0	Q0	279	7	4.074800756825717	BM25
0	Q0	292	8	3.0937033792516484	BM25
0	Q0	308	9	4.846809333829404	BM25
0	Q0	322	10	4.991628426815857	BM25
0	Q0	329	11	4.83250719240502	BM25
0	Q0	335	12	3.673364669393704	BM25
0	Q0	342	13	3.4660686249154447	BM25
0	Q0	344	14	3.444500998025509	BM25
0	Q0	348	15	3.782508512260125	BM25
0	Q0	358	16	4.658975625608009	BM25
0	Q0	434	17	3.137711769141548	BM25
0	Q0	456	18	5.005947970861666	BM25
0	Q0	491	19	3.421677185866212	BM25
0	Q0	492	20	2.8816726697405226	BM25
0	Q0	496	21	2.4764710555128144	BM25
0	Q0	497	22	4.949328910420308	BM25
0	Q0	536	23	2.716739399063139	BM25
0	Q0	544	24	4.233077884747647	BM25
0	Q0	546	25	4.553971270642871	BM25
0	Q0	583	26	4.341524092480468	BM25
0	Q0	648	27	4.113974566220655	BM25
0	Q0	667	28	4.83934049072331	BM25
0	Q0	669	29	3.611547924172116	BM25
0	Q0	676	30	4.760680090765406	BM25
0	Q0	677	31	3.0253942776853275	BM25
0	Q0	684	32	4.895964717701485	BM25
0	Q0	690	33	1.63517943642658	BM25
0	Q0	691	34	3.439276459122893	BM25
0	Q0	692	35	3.6195186250778457	BM25
0	Q0	700	36	4.541037544381336	BM25
0	Q0	720	37	4.639712595877843	BM25
0	Q0	737	38	3.0283041351622844	BM25
0	Q0	740	39	4.735312947177109	BM25
0	Q0	751	40	4.73624261001536	BM25
0	Q0	872	41	4.863541261053643	BM25
0	Q0	903	42	4.228834166135128	BM25
0	Q0	905	43	4.298196555953934	BM25
0	Q0	908	44	3.701664999004757	BM25
0	Q0	909	45	4.704212642857742	BM25
0	Q0	911	46	5.005396107894317	BM25
0	Q0	920	47	4.023864994596998	BM25
0	Q0	921	48	4.894722178536442	BM25
0	Q0	922	49	4.909832709568271	BM25
0	Q0	931	50	4.987754090652508	BM25
